ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,1e:e8:29:ee:72:33,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,18:e8:29:ed:72:33,ba:fb:e4:c5:d2:73,24:81:3b:50:c9:e1,18:e8:29:ee:72:33,1e:e8:29:e4:3e:31,1e:e8:29:ed:72:33,32:cd:a7:c1:89:0d,34:60:f9:63:80:30,14:cc:20:2c:3d:42,b4:fb:e4:c4:d2:73,c0:25:5c:a3:84:f1,c0:25:5c:a3:84:f0,c0:25:5c:a3:c8:c0,c0:25:5c:a3:c8:c1,00:08:2f:33:a0:91,00:08:2f:33:a0:90,00:08:2f:33:a0:98,00:08:2f:33:a0:95,00:08:2f:33:a0:94,54:b8:0a:10:f6:42,10:b3:d6:07:cd:41,92:8c:c8:40:47:fb,12:e8:a7:a1:61:95,10:b3:d6:07:cd:42,10:b3:d6:07:cd:40,b4:fb:e4:c5:d2:73,ce:80:59:cd:76:6c,10:b3:d6:07:cd:60,10:b3:d6:07:cd:61,c0:25:5c:a3:c8:c2,14:dd:a9:97:ce:58,1e:e8:29:e4:35:72,c2:56:27:c2:67:83,0e:76:84:a5:21:cd,24:81:3b:50:c9:ef,b4:fb:e4:c5:af:1a,24:81:3b:50:c9:ed,24:81:3b:50:c9:ee,24:81:3b:52:ec:6e,24:81:3b:52:ec:6f,ba:fb:e4:c5:af:1a,24:81:3b:52:ec:6d,10:b3:d6:07:cd:62,b8:d4:bc:21:5b:99,34:60:f9:63:7e:de,x,y,theta
-42.0,-75.0,-55,-50.0,-65.0,-94.0,-42.0,-63.0,-59.0,-50.0,-50.0,-43.0,-49.0,-63.0,-59.0,-76.0,-75.0,-46.0,-46.0,-67.0,-76.0,-65.0,-46.0,-74.0,-74.0,-71.0,-43.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.629244366903742,0.7903619804668918,3.230398432423741
-50.0,,-56,-59.0,,-76.0,-50.0,-73.0,-66.0,-74.0,-74.0,-41.0,-73.0,-73.0,-59.0,,,-59.0,-59.0,-81.0,,-78.0,-59.0,,,,-46.0,-63.0,-81.0,-96.0,-64.0,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970078772208912,-5.367119901636187,4.173331398802378
-72.0,-76.0,-65,-49.0,-79.0,,-73.0,-89.0,-81.0,-61.0,-62.0,-60.0,-61.0,-89.0,-57.0,,,-68.0,-67.0,,,,-68.0,-85.0,-85.0,-78.0,-65.0,-85.0,-79.0,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217948355391072,3.488195215986767,4.701415809099967
-51.0,-71.0,-49,-59.0,,-91.0,-51.0,-70.0,-65.0,-59.0,-59.0,-51.0,-60.0,-69.0,-58.0,,,-45.0,-44.0,,,,-45.0,-78.0,-78.0,,-48.0,,,,,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42901225917396,3.2742142942868417,3.148899288887179
-45.0,,-58,-58.0,,,-45.0,-70.0,-63.0,-45.0,-46.0,-50.0,-45.0,-69.0,,,,-50.0,-50.0,-62.0,-86.0,-65.0,-51.0,-67.0,-67.0,,,,-77.0,,,-75.0,,-84.0,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.158752293570436,4.481888375521651,0.0748324517248591
-60.0,,-37,-49.0,-78.0,-82.0,-60.0,-78.0,-71.0,-66.0,-67.0,,-64.0,-78.0,-55.0,,,-66.0,-66.0,,,-75.0,-66.0,,,,,,-78.0,,-72.0,-81.0,,,,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.993492075330485,-2.092802523422456,1.5281850147985303
-42.0,,-44,-61.0,,-78.0,-42.0,-65.0,-64.0,-66.0,-67.0,-46.0,-67.0,-65.0,-64.0,,,-59.0,-59.0,,-87.0,,-59.0,,-88.0,,-46.0,-64.0,,,,,,,,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.478851489168414,-5.657347552742898,4.177338132423444
-35.0,,-53,-61.0,-71.0,-84.0,-35.0,-56.0,-48.0,-44.0,-44.0,-30.0,-43.0,-56.0,-55.0,,-76.0,-54.0,-54.0,,-77.0,-68.0,-54.0,-81.0,-81.0,,-29.0,-44.0,-68.0,-90.0,,-66.0,,,,-71.0,-90.0,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6815375778064814,-3.727658979529669,3.47994126867216
-50.0,-72.0,-55,-54.0,-61.0,-94.0,-50.0,-67.0,-62.0,-41.0,-40.0,,-41.0,-67.0,-64.0,-76.0,-76.0,-44.0,-44.0,-58.0,-73.0,-59.0,-44.0,-74.0,-73.0,-72.0,,,-61.0,,,-71.0,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7324110382763904,0.1731241138108729,3.2339891846769446
-53.0,,-38,-37.0,-70.0,-84.0,-53.0,-74.0,-66.0,-63.0,-63.0,-51.0,-62.0,-74.0,-42.0,,-86.0,-59.0,-59.0,,,,-59.0,-89.0,-88.0,,-53.0,-65.0,-70.0,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.571813935254664,1.43310757587103,4.910418043486953
